id,name,description,price,stock,category,image_path
G103,Gadget 204,poya red umbrella,6.00,500,Gadget,/products/gadget/Gadget204.jpg
G104,Gadget 205,swiss pattern umbrella,6.00,500,Gadget,/products/gadget/Gadget205.jpg
G105,Gadget 206,switzerland umbrella,4.00,500,Gadget,/products/gadget/Gadget206.jpg
G106,Gadget 207,crans montana umbrella,4.00,500,Gadget,/products/gadget/Gadget206.jpg
G107,Gadget 211,swiss sport scarf,4.00,500,Gadget,/products/gadget/Gadget211.jpg
G108,Gadget 212,zermatt sport scarf,4.00,500,Gadget,/products/gadget/Gadget212.jpg
G109,Gadget 213,poya sport scarf,4.00,500,Gadget,/products/gadget/Gadget213.jpg
G110,Gadget 214,edelweiss sport scarf,4.00,500,Gadget,/products/gadget/Gadget214.jpg
G111,Gadget 215,swiss pattern sport scarf,4.00,500,Gadget,/products/gadget/Gadget215.jpg
G112,Gadget 216,Crans-Montana sport scarf,4.00,500,Gadget,/products/gadget/Gadget216.jpg
G113,Gadget 217,Switzerland flag fan,3.00,500,Gadget,/products/gadget/Gadget217.jpg
G114,Gadget 218,Switzerland red fan,3.00,500,Gadget,/products/gadget/Gadget218.jpg
G115,Gadget 219,swiss red poncho,4.50,500,Gadget,/products/gadget/Gadget219.jpg
G116,Gadget 220,transparent poncho,2.00,500,Gadget,/products/gadget/Gadget220.jpg
G117,Gadget 221,Swiss passport note book,4.00,500,Gadget,/products/gadget/Gadget221.jpg
G118,Gadget 224,Wooden tray,1.00,500,Gadget,/products/gadget/Gadget224.jpg
G119,Gadget 226,box set 4 poya mug,6.00,500,Gadget,/products/gadget/Gadget226.jpg
G120,Gadget 227,Box set 4 i love swiss mug,6.00,500,Gadget,/products/gadget/Gadget227.jpg
G121,Gadget 228,Customized on demand Tumbler,4.00,500,Gadget,/products/gadget/Gadget228.jpg
G122,Gadget 229,Lausanne cathedral Tumbler,4.00,500,Gadget,/products/gadget/Gadget229.jpg
G123,Gadget 230,Geneve water jet Tumbler,4.00,500,Gadget,/products/gadget/Gadget230.jpg
G124,Gadget 231,Bern Zytglogge,4.00,500,Gadget,/products/gadget/Gadget231.jpg
